"ID","F1","F2","F3","Group","helped","advantage","applause","awe","banjo","banker","belief","bicycle","blue","bread","bridge","cabinet","cheese","circus","clever","clue","cough","council","cucumber","dark","day","driver","farmer","faucet","feared","field","forest","glass","hand","hoe","honeymoon","hope","hospital","hotel","ice","lake","mushroom","old","park","patient","piano","pig","plum","reporter","restaurant","ricochet","semester","sin","snub","spring","teacher","thunder","tiger","tomato","truce","trumpet","volcano","white","whole","xylophone"
"R_3hu58fCzSac5UZV",-0.623319705549504,-0.471053709947074,1.08332661396434,"1","-1","-1","1","1","1","1","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","-1","1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","1","-1","1","1","1","1","-1","-1","-1","1","-1","-1","1","1","-1","1","1"
"R_25GRkeqXXSHgFvv",-0.793886506076862,-1.03445860447564,-0.130094817469614,"1","1","-1","1","1","1","1","-1","-1","1","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","1","1","1","1","-1","1","1","1","1","-1","-1","1","1","1","-1","1","1","1","1","1"
"R_325crm57QkjfFWW",0.986169289264352,1.47876702791695,0.641781368634272,"1","-1","1","-1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","1","1","1","1","1","1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","1","1","1","1","-1","-1","1","1","1","1","-1","-1","1","-1","-1","-1","1","-1","-1","1"
"R_3CIqBANX9a7A4kj",0.0251479441723543,-0.183171674096313,1.21372175158283,"1","1","1","1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","1","1","-1","-1","1","1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","1","-1","1","-1","1","-1","-1","1","-1"
"R_yNPaLzeGcwqYnWV",-1.18833333224903,-1.28336446897178,-0.0700364007021934,"1","1","-1","-1","1","1","1","-1","1","-1","-1","1","1","1","1","1","-1","1","1","-1","-1","-1","1","1","1","-1","1","1","-1","-1","1","1","-1","-1","-1","1","-1","1","1","-1","-1","1","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","1","-1","1","1","-1","1","1"
"R_bezkF1Km1523r9v",1.16816184017054,2.15547838093166,1.23235760106365,"1","-1","-1","-1","1","1","1","1","-1","1","1","1","1","-1","1","-1","-1","1","1","1","1","-1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-1","1","1","1","1","1","-1","-1","1","1","1","-1","1","1","-1","1","-1","1","1","-1","-1","1"
"R_24BDJq7vgMIvVgq",-0.73991950791564,-0.495057126707662,-0.562725432348397,"1","-1","-1","-1","1","1","-1","1","1","1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","-1","1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","1","1","1","1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","1","-1","1","1"
"R_1N9biG4WKlp1P4j",-1.0361725784637,-0.934193650595153,-0.640404154103464,"1","-1","-1","1","1","1","1","1","1","-1","-1","1","-1","1","1","1","1","1","1","1","1","-1","-1","1","-1","-1","1","1","-1","-1","1","1","-1","-1","1","1","-1","1","1","1","1","-1","1","1","1","-1","1","1","1","1","-1","-1","1","1","-1","-1","1","1","-1","-1","1"
"R_3ltCtuQi2Gse52M",-1.18349330244561,-1.19991352535403,-0.200002600166406,"1","1","1","-1","-1","1","1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","-1","-1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","1","-1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","1","1"
"R_UJXexFcv8cDuVZT",-0.872384302998282,-0.499777247094511,-0.348988143853623,"1","-1","-1","-1","-1","1","1","-1","1","-1","-1","-1","1","1","1","-1","1","1","1","-1","1","-1","1","-1","1","-1","-1","-1","-1","1","1","-1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","1","-1","1","-1","1","1","-1","1","1","1","1","1","1","-1","1","-1","1"
"R_3JwI4tvN8PAFuBZ",1.49540749041764,1.74657748711706,0.32008364833402,"1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","1","1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","1","1","-1","1","1","1"
"R_yqfLpo7LsM6iJdT",-0.592163391968096,-1.14087373568909,-0.381256004344867,"1","-1","-1","-1","-1","-1","-1","1","1","1","-1","1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","1","1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1"
"R_1CI8jfXThU2n4lq",-1.04383646766069,-0.794790206132472,-0.231516155997135,"1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","1","1","-1","1","-1","-1","1","1","1","1","-1","1","1","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","-1","1","1","-1","-1","-1","1","1","1","-1","1","1","1","1","-1","1","1","1","1","-1","-1","1","1","1","-1"
"R_qXfdwqb5L7nMhZ7",-0.196498422705447,-0.528924233916192,0.053344068524153,"1","1","-1","-1","-1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","-1","1","-1","1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","-1","1","1","1","-1","1","1","1","-1","1","1","-1","-1","-1","1","1","-1","1","1","-1","-1","1","1","1","-1","1","-1"
"R_2SwfeNDoxAhUkHP",-0.0998577672608178,0.101829684278863,-0.849461500651826,"1","1","-1","1","1","-1","1","-1","-1","1","-1","1","-1","-1","-1","-1","1","1","-1","-1","1","1","1","1","-1","-1","-1","1","-1","1","1","-1","-1","-1","1","-1","1","-1","1","-1","1","-1","-1","1","1","-1","1","-1","1","1","-1","-1","-1","-1","1","-1","1","1","1","1","1"
"R_DHutw8TEjBtlAmR",-0.603800634561975,-0.806939801914281,-0.40833827800411,"1","1","1","1","1","-1","1","1","1","-1","-1","-1","1","-1","1","-1","1","-1","1","-1","-1","1","1","-1","1","1","1","1","1","-1","1","1","1","1","1","-1","1","-1","1","1","1","-1","1","1","-1","1","1","-1","1","1","-1","1","-1","-1","-1","1","1","1","-1","1","-1"
"R_UWk8ULMoDWCsUHn",1.55701557774755,1.22489443102105,0.602428472437561,"1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","1","1","-1","1","-1","1","1","1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","1","1","-1","-1","1"
"R_bKoCbjspKoTSmlP",-1.05069266787395,-1.18454648144839,-0.250505555710826,"1","-1","-1","1","1","1","1","-1","1","-1","-1","1","-1","1","1","1","-1","1","-1","-1","-1","1","1","1","-1","-1","1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","1","1","1","-1","1","1","1","1","-1","1","1","1","-1","-1","1","-1","-1","-1","-1"
"R_zYwR7hNeYg8q6zv",0.517622443461163,0.736583306952439,-0.568548082420066,"1","-1","-1","1","-1","1","-1","1","1","1","1","1","1","-1","1","1","-1","1","1","1","1","1","-1","-1","-1","1","1","-1","-1","-1","-1","1","1","1","1","-1","-1","1","1","1","1","1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","-1","1","-1","-1","1","-1","1"
"R_3EMAAh2z1iNz79X",0.661568366909157,0.298416559951499,-0.382605047157785,"1","1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","1","1","-1","1","1","-1","-1","-1","1","-1","-1","1","1","1","1","-1","1","1","-1","1","1","1","1","1","1","-1","1","1","-1","-1","-1","1","1","-1","1","1","-1","1","-1"
"R_2Qo0tUdK0g1hbpi",-0.791946415141331,-0.786947566815644,-0.22067196052576,"1","1","1","-1","-1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","1","-1","-1","1","1","1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","1","-1","1","-1","-1","1","1","1","1","-1","1","-1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","1","1","-1"
"R_UlS88FxSwtsGXzH",2.5950862613434,2.48068976362766,-0.396192032974665,"1","1","1","1","1","1","1","1","-1","1","1","1","1","-1","1","1","1","-1","1","1","1","1","-1","-1","-1","1","1","1","1","-1","1","1","1","1","1","1","-1","1","-1","1","-1","1","1","1","-1","1","1","-1","1","-1","-1","-1","1","1","-1","1","1","1","1","1","1"
"R_2P8cFe4klTH5J2v",-0.727564020050691,-0.953677781981264,0.00343493567834738,"1","1","-1","1","-1","1","1","1","1","1","-1","1","-1","1","1","-1","1","1","1","-1","1","-1","1","1","1","1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","-1","1","1","1","-1","1","1","1","-1","1","1","-1","1","1","1","-1","-1","1","1","-1","1","1"
"R_3HHOCag6DI3Rn82",-0.423102194385092,-0.602926240787493,-0.533222904359014,"1","1","-1","1","1","1","-1","-1","1","1","-1","1","1","1","1","-1","-1","-1","1","1","1","1","1","1","-1","1","1","-1","1","-1","-1","1","-1","1","1","1","-1","-1","-1","1","1","1","1","-1","-1","-1","1","1","1","1","1","1","1","1","1","1","-1","1","1","1","-1"
"R_8nUbCsMn3lZlx4t",-1.06795974511403,-1.32939308305211,-0.0230213660673585,"1","1","-1","1","1","1","1","1","1","-1","1","-1","-1","1","1","-1","1","-1","1","-1","1","1","1","1","1","-1","-1","-1","1","1","1","-1","-1","-1","-1","1","-1","1","-1","1","-1","-1","1","1","1","1","1","-1","1","-1","-1","-1","1","1","-1","1","1","1","-1","-1","1"
"R_OlGNExLUlrL3qy5",-0.959589114160902,-1.09339231190018,-0.372099948936906,"1","1","-1","1","-1","-1","1","-1","-1","-1","1","1","1","1","1","-1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","1","1","1","-1","-1","1","1","-1","1","-1","-1","-1","1","-1","-1"
"R_1IsYVr1GIvHgi6i",0.920603673601798,0.450064407942956,0.0879651846296403,"1","1","-1","-1","1","-1","1","1","1","-1","-1","1","1","1","-1","1","1","-1","1","1","1","-1","1","1","-1","1","1","-1","1","1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","-1","1","-1","-1","-1","-1","1","1","1","-1","1","1","-1","1","-1","1","1","-1","1","-1"
"R_1GV8ipW2EhT7DOs",-0.859181966992183,-1.21637819834793,-0.205109900828181,"1","1","1","-1","-1","1","1","-1","1","-1","-1","1","-1","-1","1","1","-1","-1","-1","1","-1","-1","1","-1","1","-1","-1","1","-1","-1","1","-1","1","-1","1","1","1","1","1","1","-1","1","1","1","-1","-1","-1","1","-1","1","-1","1","1","1","1","-1","1","1","-1","1","1"
"R_PRkCW6MysIZnMNH",-0.978002587812659,-0.546443286270754,-0.689400831156873,"1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","1","1","1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","-1","1","1","1","-1","-1","-1","-1","1","1","1","-1","1","-1","1","1","1","-1"
"R_enfi7lDcj8JKdNL",-0.830593961100921,-1.07666419395667,-0.230286099741772,"1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","1","1","1","-1","1","-1","1","1","-1","-1","-1","1","1","1","1","-1","1","-1","1","-1","-1","1","1","1","-1","1","1","1","-1","-1","1","1","1","-1","1","-1","1","1","-1","1","1","1","1","-1","1","1","-1","-1","1"
"R_3ERr2epKrIg8TmM",0.593613716438638,-0.0718879914889685,0.333363828124779,"1","-1","-1","-1","1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","-1","-1","1","-1","-1","1","1","-1","1","-1","1","-1","1","1","-1","-1","1","1","-1","1","-1","1","-1","-1","1"
"R_Y685AJ5gQfzylQR",-0.969269173767735,-1.26029419913567,-0.11216755000848,"1","-1","-1","1","-1","1","1","1","1","1","1","-1","1","-1","-1","1","-1","-1","1","1","-1","1","1","1","1","-1","1","1","-1","1","-1","-1","1","1","-1","1","1","1","-1","-1","-1","1","1","1","1","-1","1","-1","1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","-1"
"R_31nqHy79QeAaHYh",-0.576995648139465,-0.763900720913131,-0.727385628334994,"1","1","1","1","1","-1","1","1","1","1","-1","1","1","-1","-1","1","1","-1","1","1","-1","-1","-1","1","1","1","1","-1","1","-1","1","1","-1","-1","-1","1","1","-1","1","1","-1","1","1","-1","-1","-1","1","-1","-1","1","-1","-1","1","1","-1","1","1","1","-1","-1","1"
"R_QhbAvBvGWHwfGcF",-0.957440699129943,-1.12609844559392,-0.0548529909444376,"1","1","-1","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","1","-1","-1","-1","1","-1","-1","1","-1","1","1","-1","-1","1","1","1","-1","-1","-1","1","1","1","1","1","1","1","-1","1","1","-1","1","-1","1","1","1","1","1","1","1","-1","-1","-1","1","1","1","-1","1"
"R_2xLfLqCBsDL5bUQ",-1.14895914796545,-0.910220322146598,-0.654970979453341,"1","-1","1","1","1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","-1","-1","1","-1","-1","-1","1","1","1","1","-1","1","-1","-1","1","-1","1","1","1","-1","1","1","1","-1","-1","-1","-1","-1","1"
"R_3IdwSaOTDcjTLyN",2.0543945046871,2.50701660496491,-0.285789009604772,"1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","1","1","-1","-1","-1","-1","1","1","1","1","-1","-1","1","-1","-1","-1","1","1","1","1","-1","-1","-1","-1","1","1","-1","1","-1","1","-1","1","1","-1","1","1","1","1","-1","1","-1","-1","1","-1"
"R_1IXIpqjOI9462ss",-0.687008201242573,-0.688568518729872,-0.46601999838135,"1","-1","1","1","1","1","1","-1","1","-1","-1","1","1","-1","1","1","-1","-1","-1","1","-1","-1","1","1","-1","1","1","1","-1","1","1","-1","-1","-1","1","1","1","1","1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","1","-1","-1","1","1","-1","1","1"
"R_3fwWQfXmk2GHL5b",0.583459070954282,1.33048009417919,0.0330715512563186,"1","-1","-1","1","1","-1","-1","-1","1","-1","1","-1","-1","1","1","1","1","-1","-1","1","-1","1","-1","1","1","1","-1","-1","-1","1","-1","1","-1","1","1","-1","1","1","1","1","-1","1","1","-1","1","-1","1","-1","1","-1","-1","-1","-1","1","1","-1","1","1","1","-1","-1"
"R_1imO3PBJeODLmdq",1.30884924151572,2.23103051387089,-0.122998220270133,"1","-1","1","1","1","1","1","1","-1","1","-1","-1","-1","-1","1","1","-1","-1","-1","1","1","1","1","1","1","-1","1","1","-1","-1","1","1","1","1","1","-1","-1","-1","1","-1","-1","-1","1","-1","1","1","1","-1","-1","1","-1","-1","1","1","-1","-1","1","-1","-1","-1","1"
"R_2V9EGVaUzoUZu38",-0.0708540506198268,0.8215179517111,-0.996132274561334,"1","1","1","-1","-1","1","1","-1","-1","-1","1","-1","-1","-1","-1","1","-1","1","-1","1","-1","-1","1","1","1","1","1","-1","-1","1","1","-1","-1","-1","1","-1","-1","1","1","1","-1","1","1","1","1","1","-1","-1","-1","1","-1","1","-1","-1","1","-1","1","1","-1","-1","1"
"R_1hZ5rHhAzcT4e4s",-0.217592308385185,0.303411973922887,-0.245977386261603,"1","-1","-1","1","1","1","-1","1","1","-1","1","1","-1","-1","1","1","-1","-1","-1","-1","1","1","1","1","1","-1","1","-1","1","1","-1","-1","1","1","1","-1","1","1","1","-1","1","1","-1","-1","-1","-1","1","1","1","-1","-1","-1","-1","-1","1","-1","-1","1","1","1","-1"
"R_1C3LFFkM2R4JPyA",-0.599845629025695,-0.355297929192764,-0.283374103049452,"1","-1","1","1","1","-1","-1","-1","1","-1","-1","-1","1","1","1","1","-1","1","-1","1","1","-1","1","1","-1","-1","-1","1","1","1","1","-1","1","-1","-1","1","-1","1","1","1","1","1","-1","1","1","1","-1","1","1","1","-1","1","1","1","-1","1","1","-1","-1","1","-1"
"R_vcBdrjkWV4DW7st",1.59773529474737,2.27308038201451,2.38603219879331,"1","-1","-1","1","1","1","-1","1","1","1","-1","-1","-1","1","1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","1","-1","-1","1","1","-1","-1","-1","-1","1","1","1","1","1","1","1","-1","1","-1","-1","1","-1","1","-1","-1","1","1","1","1","-1","1","1"
"R_DvgSgV14q5dVO6Z",0.583523376799618,0.568114541018073,-0.479704685351816,"1","1","-1","-1","1","1","1","-1","-1","1","1","1","1","-1","1","1","-1","-1","-1","-1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","1","1","1","-1","-1","-1","1","1","1","1","1","-1","-1","1","-1","-1","-1","1","-1","-1","1","1","1","1","1"
"R_bIyTyarqK7c3DmF",0.600095440905475,1.76262938156558,-0.00405398122641007,"1","-1","-1","1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","1","1","1","1","1","1","-1","-1","-1","1","-1","-1","1","-1","1","1","1","1","1","1","-1","-1","1","1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","1","1","1","-1","1","1"
"R_ulXkqMALOJd7qoN",-1.01890550122362,-0.789347048991435,-0.867888343746932,"1","-1","1","1","1","1","-1","-1","-1","-1","1","1","1","-1","1","-1","-1","1","1","-1","1","-1","-1","1","-1","1","1","-1","1","-1","1","-1","-1","-1","-1","1","1","1","1","1","1","-1","1","-1","1","1","1","1","1","1","-1","-1","-1","1","-1","1","1","1","-1","1","-1"
"R_1OxiI1XmnIaNg1m",2.01526190398675,1.21152887784145,0.417719474122981,"1","-1","-1","1","-1","1","1","1","1","-1","-1","-1","1","-1","-1","-1","1","-1","1","-1","1","-1","-1","1","1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","-1","-1","1","-1","-1","1","-1","-1","-1"
"R_sFHBzbDjTAwxlm1",2.85547579043286,2.06402678626763,1.75249099853728,"1","1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","1","1","-1","1","1","-1","1","-1","1","-1","1","-1","1","-1","1","1","-1","1","1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","1","-1","1","1","-1","-1","-1","-1","1","1","-1","1","-1","-1","1"
"R_3prlhTy8QoUFGQy",-1.03342559063387,-1.03969987984467,-0.477989745354293,"1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","1","1","1","-1","-1","1","1","1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","-1","-1","1","-1","-1","-1","1","-1","1","-1","-1","1","1","1","-1","-1","1","1","-1","-1","1","1","-1","-1","1"
"R_1hQHtpN9cVCPiag",0.479027854494565,0.667303981320596,-0.539173459310073,"1","1","1","1","1","1","1","-1","1","-1","-1","-1","1","-1","1","1","1","1","1","-1","-1","-1","-1","1","-1","-1","1","1","1","1","-1","-1","1","1","-1","-1","-1","1","1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","-1","1","1","-1","-1","-1","1","-1","-1","1"
"R_2R4jxQzsCORziDK",-0.331435707719823,-0.661691160916605,-0.344068747660416,"1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"R_1psz6BTLkMsSbCt",0.722972318748301,0.00028443945260042,-0.55984569457118,"1","-1","-1","1","-1","1","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","-1","-1","1","-1","1","1","1","-1","-1","-1","1","1","1","-1","-1","1","1","1","1","-1","-1","1","1","-1","-1","1","-1","-1","-1","-1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1"
"R_2WYX5As8i8iZEjb",0.00166974664617445,0.362779733787379,-0.168814444521546,"1","1","-1","-1","1","1","1","1","-1","1","1","1","-1","1","1","-1","1","1","1","1","-1","-1","1","-1","-1","-1","1","-1","-1","1","1","1","-1","1","1","1","1","1","1","-1","1","1","1","1","1","1","1","-1","-1","1","1","-1","1","1","-1","-1","1","1","1","-1","1"
"R_1MXvzREZLRemdeG",-1.18349330244561,-1.19991352535403,-0.200002600166406,"1","-1","-1","1","1","1","1","1","1","1","-1","1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","1","1","1","1","-1","-1","-1","1","1","-1","-1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","1","1","1","-1","1","-1","-1","1","1","1","1","1","1","-1","-1","1"
"R_1hLJK84Ekd2qamY",0.961890658438066,0.800134716799174,1.0879777575549,"1","1","-1","1","1","1","-1","-1","1","-1","-1","1","-1","-1","1","1","1","-1","1","1","-1","1","1","1","1","1","1","1","1","1","1","-1","-1","-1","-1","-1","-1","1","1","-1","1","-1","-1","-1","-1","1","1","-1","1","1","-1","-1","1","-1","1","1","1","1","-1","-1","1"
"R_2xMf45QlUAXkepi",-0.261250848794723,-0.62380729784271,-0.85242532316902,"1","-1","-1","-1","1","-1","1","1","1","-1","1","-1","-1","1","1","1","1","-1","-1","-1","-1","1","-1","1","1","1","-1","-1","1","-1","1","-1","-1","-1","1","1","-1","1","1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","1","-1","1","-1","-1","-1","1","1","1","-1"
"R_3HhqlAoYQ1csa4l",-0.0349190362942625,-0.0604869530604387,-0.95067485331679,"1","1","-1","-1","1","-1","1","1","1","1","1","1","1","-1","1","1","-1","-1","-1","1","-1","1","1","1","-1","1","1","-1","1","-1","1","1","1","1","-1","-1","-1","1","1","1","-1","-1","1","-1","-1","1","1","-1","1","1","-1","1","1","1","1","1","-1","1","1","1","1"
"R_NXOAqpj5q03E45H",0.565570736129549,0.955936682113376,0.363119305177868,"1","-1","1","-1","1","1","1","1","1","-1","1","1","-1","1","1","-1","1","-1","1","-1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","-1","-1","1","-1","1","1","1","1","-1","1","1","-1","-1","1","-1","-1","-1","1","1","-1","1","1"
